Nome Scarpa,Genere,Categoria,URL,Taglie,Prezzo,Range taglie,Colore
Scarpa Airseal 3 Eye,Donna,Scarpe,[https://www.altrotipo.it/scarpa-airseal-3-eye/](https://www.altrotipo.it/scarpa-airseal-3-eye/),"36, 37, 38, 42, 44",116.02,36-44,nero
Stivaletto 5401T brown,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-5401t-brown/](https://www.altrotipo.it/stivaletto-5401t-brown/),"37, 40, 41, 42, 43",73.51,37-43,Marrone
Stivaletto 5401T black,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-5401t-black/](https://www.altrotipo.it/stivaletto-5401t-black/),"36, 37, 40, 41, 43",79.0,36-43,Nero
Stivaletto Nido Khaki,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-nido-khaki/](https://www.altrotipo.it/stivaletto-nido-khaki/),"38, 39, 40, 41, 43, 44",71.31,38-44,nero
Stivaletto Emily,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-emily/](https://www.altrotipo.it/stivaletto-emily/),"37, 39, 41",85.59,37-41,nero
Stivaletto Luce nero,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-luce-nero/](https://www.altrotipo.it/stivaletto-luce-nero/),"36, 40, 41, 43, 44",88.82,36-44,Nero
Stivaletto Bline nero,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-bline-nero/](https://www.altrotipo.it/stivaletto-bline-nero/),"37, 39, 43",82.84,37-43,Nero
Anfibio Airseal Boulder Black,Donna,Anfibi,[https://www.altrotipo.it/anfibio-airseal-boulder-black/](https://www.altrotipo.it/anfibio-airseal-boulder-black/),"37, 38, 39, 40, 42, 43, 46",111.27,37-46,Nero
Scarpa trekking Approach Mid marrone,Donna,Scarpe,[https://www.altrotipo.it/scarpa-trekking-approach-mid-marrone/](https://www.altrotipo.it/scarpa-trekking-approach-mid-marrone/),"36, 38, 42, 43, 45",87.19,36-45,Marrone
Scarpetta 5326T Aqua marrone,Donna,Altro,[https://www.altrotipo.it/scarpetta-5326t-aqua-marrone/](https://www.altrotipo.it/scarpetta-5326t-aqua-marrone/),"36, 37, 40, 42, 43, 44",83.33,36-44,Marrone
Scarponcino Retread marrone,Donna,Stivaletti,[https://www.altrotipo.it/scarponcino-retread-marrone/](https://www.altrotipo.it/scarponcino-retread-marrone/),"36, 45, 47",96.68,36-47,Marrone
Sneaker Cheatah Blu,Donna,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-blu/](https://www.altrotipo.it/sneaker-cheatah-blu/),"37, 38, 39, 40, 41, 42, 43, 44, 45",76.19,37-45,nero
Biker basso ecu nero,Donna,Anfibi,[https://www.altrotipo.it/biker-basso-ecu-nero/](https://www.altrotipo.it/biker-basso-ecu-nero/),"36, 37, 38, 40, 42, 44",109.91,36-44,Nero
