nome_prodotto,prezzo,link,sesso,categoria,range taglie,taglie,colore,descrizione,brand,fascia_prezzo
ESEL Brown,128.0,https://nae-vegan.com/it-it/products/esel-brown,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,"Acquista le scarpe vegane Esel Black, mocassini con un’elegante cinturino e suola spessa. Realizzate in pelle vegana di alta qualità: resistenti all'acqua, leggere, durevoli e cruelty-free.",Nae,>=120€
ESEL Black,128.0,https://nae-vegan.com/it-it/products/esel-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,"Acquista le scarpe vegane Esel Black, mocassini con un’elegante cinturino e suola spessa. Realizzate in pelle vegana di alta qualità: resistenti all'acqua, leggere, durevoli e cruelty-free.",Nae,>=120€
LOUISE CORK Brown,110.0,https://nae-vegan.com/it-it/products/louise-cork-brown,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Louise Sughero Ballerina Vegana Punta Quadrata,Nae,"100–119,99€"
MEGAN White,115.0,https://nae-vegan.com/it-it/products/megan-white,donna,Scarpe Piatte,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",White,Megan White Vegan Casual Derby Plain,Nae,"100–119,99€"
LINA CORK Brown,110.0,https://nae-vegan.com/it-it/products/lina-cork-brown,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Scarpe vegane con tacco medio Lina Cork,Nae,"100–119,99€"
VANE Black,115.0,https://nae-vegan.com/it-it/products/vane-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Vane Black Vegan Pump Shoes High Heel,Nae,"100–119,99€"
EMISA Black,115.0,https://nae-vegan.com/it-it/products/emisa-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Mocassino Emisa in pelle di melo nera,Nae,"100–119,99€"
EMISA Beige,115.0,https://nae-vegan.com/it-it/products/emisa-beige,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Beige,Mocassino Emisa in pelle di mela beige.,Nae,"100–119,99€"
ELENA Brown,128.0,https://nae-vegan.com/it-it/products/elena-loja-brown,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Elena Mocassino Vegano Suola Grossa,Nae,>=120€
ARUM Beige,120.0,https://nae-vegan.com/it-it/products/arum-beige,donna,Scarpe Piatte,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Beige,Arum Beige Scarpe Derby Vegane con Tacco Grosso,Nae,>=120€
