nome_prodotto,prezzo,link,sesso,categoria,sku,taglie,colore,materiale e composizione,descrizione,brand,fascia_prezzo
"Mocassini Elsa grigio scuro, vegani ecologici",97.5,https://www.privatoeco.com//products/mocassini-elsa-grigio-vegani-ecologici,donna,Mocassini,MEGS6,36 - 41,scuro,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: EVA ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Mocassini leggeri color grigio scuro opaco con accessorio morsetto lucido frontale. Leggera spazzolatura nera in punta. Scarpa senza lacci.Altezza suola 4 cm.   Modello con calzata abbondante. Consigliamo una taglia più piccola. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Mocassini Elsa nero, vegani ecologici",97.5,https://www.privatoeco.com//products/mocassini-elsa-nero-vegani-ecologici,donna,Mocassini,MEN6,36 - 41,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: EVA ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Mocassini leggeri color nero opaco con accessorio morsetto lucido frontale. Scarpa senza lacci.Altezza suola 4 cm.   Modello con calzata abbondante. Consigliamo una taglia più piccola. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Stivali Emma nero elasticizzati , vegani ecologici",79.99,https://www.privatoeco.com//products/stivali-emma-nero-elasticizzati-vegani-ecologici,donna,Stivali,SE0,36 - 41,nero,Tomaia: 70% PU 20% PES 10%COTFodera: 70% PU 20% PES 10%COTSuola: 100% Tr riciclabileEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Stivaletti light a calza in eco PU elasticizzato. Suola riciclabile con plateau alto 3cm e tacco alto 8,5 cm conforme alla Normativa Europea Reach. Calzata regolare. Packaging ecologico privo di plastica. 100% Made in Italy.",Privato,"<79,99€"
"Stivali Karma elasticizzati , vegani ecologici",94.99,https://www.privatoeco.com//products/stivali-karma-elasticizzati-vegani-ecologici,donna,Stivali,SKE6,35 - 41,nero,Tomaia: 60% PU 40% PAFodera: 80% PA 20%COSuola: gomma termo leggeraEtichetta: carta piantabileScatola: carta riciclabile,Stivali vegani elasticizzati alti fin sotto il ginocchio con zip laterale. Altezza gambale 42 cm. Altezza suola 5 cm.   Imballaggio ecologico.   Questo prodotto fa parte di una collezione co-branding in edizione limitata. PRIVATO ospita per la prima volta sul proprio shop online il brand partener ARMATA DI MARE come forma di solidarietà verso la pulizia delle acque degli oceani.,Privato,"80–99,99€"
"Stivali Berlin con elastico nero, vegani ecologici",94.0,https://www.privatoeco.com//products/stivali-berlin-con-elastico-nero-vegani-ecologici,donna,Stivali,SB5,35 - 41,nero,Tomaia: 60% PU 40% PAFodera: 80% PA 20%COSuola: gomma termo leggeraEtichetta: carta piantabileScatola: carta riciclabile,Questo prodotto fa parte di una collezione co-branding in edizione limitata. PRIVATO ospita per la prima volta sul proprio shop online il brand partener ARMATA DI MARE come forma di solidarietà verso la pulizia delle acque degli oceani. Stivali vegani con elastico laterale. Circonferenza gambale 26cm. Altezza gambale 15 cm. Altezza suola 5 cm.   Imballaggio ecologico.,Privato,"80–99,99€"
"Stivali New Oslo con elastico nero, vegani ecologici",94.0,https://www.privatoeco.com//products/stivale-new-oslo-con-elastico-nero-vegani-ecologici,donna,Stivali,SNO5,35 - 40,nero,Tomaia: 60% PU 40% PAFodera: 80% PA 20%COSuola: gomma termo leggeraEtichetta: carta piantabileScatola: carta riciclabile,Stivali vegani con elastico laterale asimmetrico. Circonferenza gambale 30cm. Altezza gambale 20cm. Altezza suola 5cm.   Imballaggio ecologico.   Questo prodotto fa parte di una collezione co-branding in edizione limitata. PRIVATO ospita per la prima volta sul proprio shop online il brand partener ARMATA DI MARE come forma di solidarietà verso la pulizia delle acque degli oceani.,Privato,"80–99,99€"
"Slip on nero, vegane ecologiche",79.99,https://www.privatoeco.com//products/slip-on-nero-vegane-ecologiche,donna,Slip on,SON0,40 - 40,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: EVA ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Prodotto versatile in tutte le occasioni sia in casa che fuori. Nella sua forma tipica a slip on, questa ciabatta è stata realizzata in microfibra e foderata in morbida pelliccia sintetica eco con un dettaglio a treccia ricamato sul perimetro. Modello con calzata regolare. In caso di dubbio tra due numeri si consiglia la taglia più piccola.Altezza suola 5 cm.",Privato,"<79,99€"
"Tacchi Sofia nero, vegani ecologici",69.0,https://www.privatoeco.com//products/tacchi-sofia-nero-vegani-ecologici,donna,Tacchi,TSN5,35 - 40,nero,Tomaia: 40% PES 60% PUFodera:  36% VI 64% PUSuola: Microlite con antiscivolo,Décolleté realizzate in materiale vegano sostenibile con accessorio gioiello. Altezza tacco 10 cm. Suola in microlite antiscivolo con miscela in sabbia naturale. Soletta intena imbottita extrasoft.Imballaggio ecologico. Cartolina piantabile. Made in Italy.,Privato,"<79,99€"
"Tacchi Sofia nude, vegani ecologici",69.0,https://www.privatoeco.com//products/tacchi-sofia-nude-vegani-ecologici,donna,Tacchi,TSR5,35 - 40,nude,Tomaia: 40% PES 60% PUFodera:  36% VI 64% PUSuola: Microlite con antiscivolo,Décolleté realizzate in materiale vegano sostenibile con accessorio gioiello. Altezza tacco 10 cm. Suola in microlite antiscivolo con miscela in sabbia naturale. Soletta intena imbottita extrasoft.Imballaggio ecologico. Cartolina piantabile. Made in Italy.,Privato,"<79,99€"
"Tacchi Valentina glicine, vegani ecologici",69.0,https://www.privatoeco.com//products/tacchi-valentina-glicine-vegani-ecologici,donna,Tacchi,TVG8,36 - 41,glicine,Tomaia: 23% VI 77% PUFodera:  36% VI 64% PUBIO-BASED MASS CONTENT: 35%Cinturino rivestito: Nickel freeSuola: Microlite con antiscivolo,Scarpe con tacco e cinturino alla caviglia realizzate in materiale riciclato e microlite. Altezza tacco 11 cm.Fodera in PES riciclato. Suola in microlite antiscivolo con miscela in sabbia naturale. Sottopiede morbido extrasoft.Imballaggio ecologico. Cartolina piantabile. Made in Italy.,Privato,"<79,99€"
"Tacchi Valentina blue, vegani ecologici",69.0,https://www.privatoeco.com//products/tacchi-valentina-blue-vegani-ecologici,donna,Tacchi,TVB8,38 - 41,blue,Tomaia: 23% VI 77% PUFodera:  36% VI 64% PUBIO-BASED MASS CONTENT: 35%Cinturino rivestito: Nickel freeSuola: Microlite con antiscivolo,Scarpe con tacco e cinturino alla caviglia realizzate in materiale riciclato e microlite. Altezza tacco 11 cm.Fodera in PES riciclato. Suola in microlite antiscivolo con miscela in sabbia naturale. Sottopiede morbido extrasoft.Imballaggio ecologico. Cartolina piantabile. Made in Italy.,Privato,"<79,99€"
"Sneakers uomo Kevin bianche, vegane ecologiche",79.99,https://www.privatoeco.com/products/sneakers-uomo-kevin-bianche-vegane-ecologiche,uomo,Sneakers,KB4,44 - 46,bianco,Tomaia: 60% PU 40% PES Fodera: Bio PU Suola: 70% TR + 30% TR riciclato,"Sneakers da uomo bianche con retro nero realizzate da rifiuti di plastica riciclata. Morbidissime, imbottite e leggere. Fodera cotone naturale. Suola in TR riciclato ultra-light.Sottopiede morbido extra soft. Imballaggio ecologico. Cartolina piantabile. Approvato PETA. Made in Italy.",Privato,"<79,99€"
"Sneakers uomo Kevin nere, vegane ecologiche",79.99,https://www.privatoeco.com/products/sneakers-uomo-kevin-nere-vegane-ecologiche,uomo,Sneakers,KN3,43 - 46,nero,Tomaia: 60% PU 40% PES Fodera:  Bio PU Suola: 70% TR + 30% TR riciclato,"Sneakers da uomo nere con retro bianco realizzate da rifiuti di plastica riciclata. Morbidissime, imbottite e leggere. Fodera cotone naturale. Suola in TR riciclato ultra-light. Sottopiede morbido extra soft. Imballaggio ecologico. Cartolina piantabile. Approvato PETA.Made in Italy.",Privato,"<79,99€"
